"DAY","INTERVAL_15MIN","PLANNED_LANES_SECURITY","TRANSFERFILTER_GH"
"2017-06-21","11:30","1","2"
"2017-06-21","11:45","1","0"
"2017-06-21","12:0","1","38"
"2017-06-21","12:15","1","1"
"2017-06-21","12:30","1","0"
"2017-06-21","12:45","1","0"
"2017-06-21","13:0","1","72"
"2017-06-21","13:15","1","6"
"2017-06-21","13:30","1","2"
"2017-06-21","13:45","1","0"
"2017-06-21","14:0","1","0"
"2017-06-21","14:15","1","5"
"2017-06-21","14:30","1","0"
"2017-06-21","14:45","1","0"
"2017-06-21","15:0","1","0"
"2017-06-21","15:15","1","3"
"2017-06-21","15:30","1","0"
"2017-06-21","15:45","1","0"
"2017-06-21","16:0","1","0"
"2017-06-21","16:15","1","0"
"2017-06-21","16:30","1","0"
"2017-06-21","16:45","1","2"
"2017-06-21","17:0","1","0"
"2017-06-21","17:15","1","14"
"2017-06-21","17:30","1","6"
"2017-06-21","17:45","1","5"
"2017-06-21","18:0","1","0"
"2017-06-21","18:15","1","0"
"2017-06-21","18:30","1","0"
"2017-06-21","18:45","1","0"
"2017-06-21","19:0","1","0"
"2017-06-21","19:15","1","0"
"2017-06-21","19:30","1","0"
"2017-06-21","19:45","1","0"
"2017-06-21","1:0","0","0"
"2017-06-21","1:15","0","0"
"2017-06-21","1:30","0","0"
"2017-06-21","1:45","0","0"
"2017-06-21","20:0","1","2"
"2017-06-21","20:15","1","9"
"2017-06-21","20:30","1","5"
"2017-06-21","20:45","1","0"
"2017-06-21","21:0","1","0"
"2017-06-21","21:15","1","0"
"2017-06-21","21:30","1","0"
"2017-06-21","21:45","1","0"
"2017-06-21","22:0","1","0"
"2017-06-21","22:15","1","11"
"2017-06-21","22:30","1","13"
"2017-06-21","22:45","1","0"
"2017-06-21","23:0","1","0"
"2017-06-21","23:15","1","0"
"2017-06-21","23:30","0","0"
"2017-06-21","23:45","0","0"
"2017-06-21","2:0","0","0"
"2017-06-21","2:15","0","0"
"2017-06-21","2:30","0","0"
"2017-06-21","2:45","0","0"
"2017-06-21","3:0","0","0"
"2017-06-21","3:15","0","0"
"2017-06-21","3:30","0","0"
"2017-06-21","3:45","0","0"
"2017-06-21","4:0","0","0"
"2017-06-21","4:15","0","0"
"2017-06-21","4:30","1","0"
"2017-06-21","4:45","1","0"
"2017-06-21","5:0","1","0"
"2017-06-21","5:15","1","0"
"2017-06-21","5:30","1","0"
"2017-06-21","5:45","1","0"
"2017-06-21","6:0","2","0"
"2017-06-21","6:15","2","0"
"2017-06-21","6:30","2","0"
"2017-06-21","6:45","2","35"
"2017-06-21","7:0","3","8"
"2017-06-21","7:15","3","32"
"2017-06-21","7:30","3","25"
"2017-06-21","7:45","3","0"
"2017-06-21","8:0","4","35"
"2017-06-21","8:15","4","101"
"2017-06-21","8:30","4","64"
"2017-06-21","8:45","4","0"
"2017-06-21","9:0","4","0"
"2017-06-21","9:15","4","17"
"2017-06-21","9:30","3","0"
"2017-06-21","9:45","3","9"
"2017-06-22","0:0","0","0"
"2017-06-22","0:15","0","0"
"2017-06-22","0:30","0","0"
"2017-06-22","0:45","0","0"
"2017-06-22","10:0","2","0"
"2017-06-22","10:15","2","0"
"2017-06-22","10:30","1","0"
"2017-06-22","10:45","1","0"
"2017-06-22","11:0","1","0"
"2017-06-22","11:15","1","0"
"2017-06-22","11:30","1","1"
"2017-06-22","11:45","1","3"
"2017-06-22","12:0","1","26"
"2017-06-22","12:15","1","0"
"2017-06-22","12:30","1","0"
"2017-06-22","12:45","1","0"
"2017-06-22","13:0","1","0"
"2017-06-22","13:15","1","5"
"2017-06-22","13:30","1","4"
"2017-06-22","13:45","1","0"
"2017-06-22","14:0","1","0"
"2017-06-22","14:15","1","3"
"2017-06-22","14:30","1","0"
"2017-06-22","14:45","1","0"
"2017-06-22","15:0","1","0"
"2017-06-22","15:15","1","2"
"2017-06-22","15:30","1","0"
"2017-06-22","15:45","1","0"
"2017-06-22","16:0","1","0"
"2017-06-22","16:15","1","0"
"2017-06-22","16:30","1","0"
"2017-06-22","16:45","1","3"
"2017-06-22","17:0","1","0"
"2017-06-22","17:15","1","11"
"2017-06-22","17:30","1","9"
"2017-06-22","17:45","1","6"
"2017-06-22","18:0","1","1"
"2017-06-22","18:15","1","0"
"2017-06-22","18:30","1","0"
"2017-06-22","18:45","1","0"
"2017-06-22","19:0","1","0"
"2017-06-22","19:15","1","0"
"2017-06-22","19:30","1","2"
"2017-06-22","19:45","1","2"
"2017-06-22","1:0","0","0"
"2017-06-22","1:15","0","0"
"2017-06-22","1:30","0","0"
"2017-06-22","1:45","0","0"
"2017-06-22","20:0","1","3"
"2017-06-22","20:15","1","14"
"2017-06-22","20:30","1","6"
"2017-06-22","20:45","1","0"
"2017-06-22","21:0","1","0"
"2017-06-22","21:15","1","0"
"2017-06-22","21:30","1","0"
"2017-06-22","21:45","1","0"
"2017-06-22","22:0","1","0"
"2017-06-22","22:15","1","9"
"2017-06-22","22:30","1","11"
"2017-06-22","22:45","1","0"
"2017-06-22","23:0","1","0"
"2017-06-22","23:15","1","0"
"2017-06-22","23:30","0","0"
"2017-06-22","23:45","0","0"
"2017-06-22","2:0","0","0"
"2017-06-22","2:15","0","0"
"2017-06-22","2:30","0","0"
"2017-06-22","2:45","0","0"
"2017-06-22","3:0","0","0"
"2017-06-22","3:15","0","0"
"2017-06-22","3:30","0","0"
"2017-06-22","3:45","0","0"
"2017-06-22","4:0","0","0"
"2017-06-22","4:15","0","0"
"2017-06-22","4:30","1","0"
"2017-06-22","4:45","1","0"
"2017-06-22","5:0","1","0"
"2017-06-22","5:15","1","0"
"2017-06-22","5:30","1","0"
"2017-06-22","5:45","1","0"
"2017-06-22","6:0","2","0"
"2017-06-22","6:15","2","0"
"2017-06-22","6:30","3","0"
"2017-06-22","6:45","3","31"
"2017-06-22","7:0","3","7"
"2017-06-22","7:15","3","19"
"2017-06-22","7:30","3","4"
"2017-06-22","7:45","3","0"
"2017-06-22","8:0","4","174"
"2017-06-22","8:15","4","123"
"2017-06-22","8:30","4","74"
